timestamp,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9
1665258463055,0,2,259,-329,351,-799,3322,2391,-4640
1665258463057,1,-2,258,-325,371,-797,3322,2391,-4640
1665258463058,1,-2,258,-325,371,-797,3322,2391,-4640
1665258463058,1,-2,258,-224,466,-814,3322,2391,-4640
1665258463058,1,-2,258,-224,466,-814,3322,2391,-4640
1665258463058,5,24,306,16,878,-1022,3322,2391,-4640
1665258463058,5,24,306,16,878,-1022,3368,2320,-4656
1665258463058,5,24,306,173,123,-937,3368,2320,-4656
1665258463088,5,24,248,18,251,-979,3368,2320,-4656
1665258463090,-4,16,248,18,251,-979,3368,2320,-4656
1665258463090,-4,16,248,-26,275,-891,3368,2320,-4656
1665258463090,-4,16,248,-26,275,-891,3368,2320,-4656
1665258463090,2,-8,242,70,-50,-897,3368,2320,-4656
1665258463090,2,-8,242,70,-50,-897,3368,2320,-4656
1665258463105,2,-8,242,-81,182,-988,3368,2320,-4656
1665258463106,2,-8,242,-81,-74,-851,3368,2320,-4656
1665258463106,-3,50,211,-149,69,-851,3368,2320,-4656
1665258463127,-3,50,211,-437,706,-653,3368,2320,-4656
1665258463128,-3,50,211,-437,706,-653,3368,2320,-4656
1665258463128,0,15,282,-422,815,-875,3368,2320,-4656
1665258463128,0,15,282,-422,815,-875,3368,2320,-4656
1665258463139,0,15,282,-253,303,-778,3368,2320,-4656
1665258463141,0,15,282,-253,303,-778,3368,2320,-4656
1665258463158,-2,0,261,-401,510,-734,3368,2320,-4656
1665258463159,-2,0,261,-344,343,-758,3377,2334,-4673
1665258463159,-2,0,261,-344,343,-758,3377,2334,-4673
1665258463159,2,-4,257,-360,341,-723,3377,2334,-4673
1665258463183,2,-4,257,-360,341,-723,3377,2334,-4673
1665258463185,2,-4,257,-409,411,-753,3377,2334,-4673
1665258463185,2,-4,257,-409,411,-753,3377,2334,-4673
1665258463185,0,5,261,-378,235,-784,3377,2334,-4673
1665258463206,0,5,261,-378,235,-784,3377,2334,-4673
1665258463208,0,5,261,-397,191,-777,3377,2334,-4673
1665258463208,0,5,261,-281,81,-816,3377,2334,-4673
1665258463208,2,3,263,-281,81,-816,3377,2334,-4673
1665258463220,2,3,263,-182,-14,-819,3377,2334,-4673
1665258463222,2,3,263,-182,-14,-819,3377,2334,-4673
1665258463222,0,5,259,-310,183,-755,3377,2334,-4673
1665258463235,0,5,259,-310,183,-755,3377,2334,-4673
1665258463237,0,5,259,-366,202,-725,3377,2334,-4673
1665258463237,0,5,259,-366,202,-725,3377,2334,-4673
1665258463259,1,-6,247,-399,209,-716,3377,2334,-4673
1665258463261,1,-6,247,-380,246,-823,3377,2334,-4673
1665258463261,1,-6,247,-380,246,-823,3335,2383,-4683
