timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1665258253715,4,-2,269,192,-778,-173,3419,2118,-4754
1665258253717,3,-2,268,193,-776,-173,3440,2138,-4815
1665258253717,3,-2,268,193,-776,-173,3440,2138,-4815
1665258253717,3,-2,268,194,-778,-173,3440,2138,-4815
1665258253732,3,-2,268,194,-778,-173,3440,2138,-4815
1665258253734,8,-1,268,192,-776,-172,3440,2138,-4815
1665258253734,8,-1,268,195,-778,-174,3440,2138,-4815
1665258253761,8,-1,268,195,-778,-174,3440,2138,-4815
1665258253763,1,-2,267,192,-776,-170,3440,2138,-4815
1665258253763,1,-2,267,192,-776,-170,3440,2138,-4815
1665258253763,1,-2,267,187,-767,-168,3440,2138,-4815
1665258253763,1,-2,267,187,-767,-168,3440,2138,-4815
1665258253763,6,1,269,192,-775,-176,3440,2138,-4815
1665258253799,6,1,269,192,-775,-176,3440,2138,-4815
1665258253801,6,1,269,192,-775,-168,3440,2138,-4815
1665258253801,6,1,269,189,-774,-169,3440,2138,-4815
1665258253801,2,-4,268,189,-774,-169,3440,2138,-4815
1665258253801,2,-4,268,196,-780,-177,3440,2138,-4815
1665258253801,2,-4,268,196,-780,-177,3440,2138,-4815
1665258253801,3,-1,269,195,-776,-173,3440,2138,-4815
1665258253814,3,-1,269,195,-776,-173,3445,2129,-4803
1665258253816,3,-1,269,186,-774,-166,3445,2129,-4803
1665258253828,3,-1,269,186,-774,-177,3445,2129,-4803
1665258253830,4,-2,269,193,-774,-177,3445,2129,-4803
1665258253830,4,-2,269,198,-783,-177,3445,2129,-4803
1665258253844,4,-2,269,198,-783,-177,3445,2129,-4803
1665258253846,3,-4,268,187,-770,-168,3445,2129,-4803
1665258253846,3,-4,268,187,-770,-168,3445,2129,-4803
1665258253867,3,-4,268,192,-777,-174,3445,2129,-4803
1665258253869,3,-4,268,192,-777,-174,3445,2129,-4803
1665258253869,4,-1,267,192,-774,-174,3445,2129,-4803
1665258253869,4,-1,267,192,-774,-169,3445,2129,-4803
1665258253889,4,-1,267,190,-774,-169,3445,2129,-4803
1665258253892,4,-2,268,193,-774,-176,3445,2129,-4803
1665258253892,4,-2,268,193,-774,-176,3445,2129,-4803
1665258253892,4,-2,268,191,-776,-174,3445,2129,-4803
1665258253907,4,-2,268,191,-776,-174,3445,2129,-4803
1665258253908,4,-2,269,192,-777,-172,3445,2129,-4803
1665258253909,4,-2,269,192,-777,-172,3461,2125,-4768
1665258253922,4,-2,269,193,-776,-173,3461,2125,-4768
1665258253924,4,-2,269,195,-780,-175,3461,2125,-4768
1665258253924,5,-2,268,195,-780,-175,3461,2125,-4768
1665258253940,5,-2,268,191,-776,-171,3461,2125,-4768
1665258253942,5,-2,268,191,-776,-171,3461,2125,-4768
1665258253942,4,-1,267,193,-777,-173,3461,2125,-4768
1665258253942,4,-1,267,193,-777,-173,3461,2125,-4768
1665258253959,4,-1,267,191,-774,-172,3461,2125,-4768
1665258253961,4,-1,267,191,-774,-172,3461,2125,-4768
1665258253961,4,-2,268,188,-770,-171,3461,2125,-4768
1665258253978,4,-2,268,195,-780,-175,3461,2125,-4768
1665258253981,4,-2,268,195,-780,-175,3461,2125,-4768
1665258253981,4,-3,268,191,-773,-171,3461,2125,-4768
1665258253981,4,-3,268,191,-773,-171,3461,2125,-4768
1665258254000,4,-3,268,194,-777,-173,3461,2125,-4768
1665258254002,4,-3,268,194,-777,-173,3461,2125,-4768
1665258254002,4,-2,268,191,-772,-175,3461,2125,-4768
1665258254002,4,-2,268,191,-772,-171,3461,2125,-4768
1665258254015,4,-2,268,189,-771,-171,3419,2088,-4829
1665258254016,4,-2,269,194,-777,-173,3419,2088,-4829
1665258254028,3,-2,269,194,-777,-173,3419,2088,-4829
1665258254031,3,-2,269,193,-776,-174,3419,2088,-4829
1665258254031,3,-2,269,193,-776,-174,3419,2088,-4829
1665258254053,4,-3,268,195,-777,-174,3419,2088,-4829
1665258254055,4,-3,268,195,-777,-174,3419,2088,-4829
1665258254055,4,-3,268,192,-774,-172,3419,2088,-4829
1665258254055,4,-3,268,193,-775,-172,3419,2088,-4829
1665258254075,4,-2,269,193,-775,-172,3419,2088,-4829
1665258254077,4,-2,269,195,-779,-173,3419,2088,-4829
1665258254077,4,-2,269,195,-779,-173,3419,2088,-4829
1665258254077,4,-3,268,190,-774,-170,3419,2088,-4829
1665258254077,4,-3,268,190,-774,-170,3419,2088,-4829
1665258254095,4,-3,268,192,-775,-173,3419,2088,-4829
1665258254097,4,-3,268,192,-775,-173,3419,2088,-4829
1665258254097,3,-1,268,190,-773,-171,3419,2088,-4829
1665258254112,3,-1,268,194,-778,-172,3419,2088,-4829
1665258254113,3,-1,268,194,-778,-172,3438,2096,-4854
1665258254113,3,-2,269,192,-778,-173,3438,2096,-4854
1665258254126,3,-2,269,192,-778,-173,3438,2096,-4854
1665258254128,3,-2,269,191,-774,-173,3438,2096,-4854
1665258254128,3,-2,269,191,-774,-173,3438,2096,-4854
1665258254142,4,-2,268,191,-775,-173,3438,2096,-4854
1665258254144,4,-2,268,191,-775,-173,3438,2096,-4854
1665258254144,4,-2,268,190,-774,-171,3438,2096,-4854
1665258254161,4,-2,269,193,-777,-173,3438,2096,-4854
1665258254162,4,-2,269,193,-777,-173,3438,2096,-4854
1665258254162,4,-2,269,191,-774,-173,3438,2096,-4854
1665258254187,4,-2,269,191,-774,-173,3438,2096,-4854
1665258254192,4,-2,268,191,-776,-172,3438,2096,-4854
1665258254192,4,-2,268,191,-776,-172,3438,2096,-4854
1665258254192,4,-2,268,194,-776,-174,3438,2096,-4854
1665258254192,4,-2,268,194,-776,-172,3438,2096,-4854
1665258254192,4,-2,269,192,-774,-172,3438,2096,-4854
1665258254205,4,-2,269,194,-777,-173,3438,2096,-4854
1665258254207,4,-2,269,194,-777,-173,3438,2096,-4854
1665258254221,3,-2,268,192,-776,-172,3424,2095,-4838
1665258254223,3,-2,268,192,-776,-172,3424,2095,-4838
1665258254223,3,-2,268,194,-779,-174,3424,2095,-4838
1665258254238,3,-2,268,194,-779,-174,3424,2095,-4838
1665258254242,4,-3,267,192,-775,-173,3424,2095,-4838
1665258254242,4,-3,267,191,-774,-171,3424,2095,-4838
1665258254242,4,-3,267,191,-774,-171,3424,2095,-4838
1665258254258,4,-3,268,194,-776,-173,3424,2095,-4838
1665258254259,4,-3,268,194,-776,-173,3424,2095,-4838
1665258254259,4,-3,268,191,-774,-172,3424,2095,-4838
1665258254278,4,-3,268,191,-774,-172,3424,2095,-4838
1665258254280,4,-2,267,192,-775,-173,3424,2095,-4838
1665258254281,4,-2,267,192,-775,-173,3424,2095,-4838
1665258254281,4,-2,267,191,-775,-173,3424,2095,-4838
1665258254306,4,-2,267,194,-779,-172,3424,2095,-4838
1665258254309,4,-3,268,194,-779,-172,3424,2095,-4838
1665258254309,4,-3,268,194,-777,-172,3424,2095,-4838
1665258254309,4,-3,268,194,-777,-172,3424,2095,-4838
1665258254309,4,-3,268,191,-774,-173,3431,2101,-4800
1665258254323,4,-3,268,191,-774,-173,3431,2101,-4800
1665258254324,4,-3,268,193,-777,-173,3431,2101,-4800
1665258254325,4,-3,268,193,-777,-173,3431,2101,-4800
1665258254339,4,-2,268,191,-774,-172,3431,2101,-4800
1665258254341,4,-2,268,193,-777,-173,3431,2101,-4800
1665258254341,4,-2,268,193,-777,-173,3431,2101,-4800
1665258254356,3,-3,268,193,-776,-173,3431,2101,-4800
1665258254358,3,-3,268,193,-776,-173,3431,2101,-4800
1665258254358,3,-3,268,194,-778,-175,3431,2101,-4800
1665258254375,3,-3,268,194,-778,-175,3431,2101,-4800
1665258254376,4,-2,269,194,-778,-175,3431,2101,-4800
1665258254376,4,-2,269,194,-773,-171,3431,2101,-4800
1665258254395,4,-2,269,189,-773,-171,3431,2101,-4800
1665258254397,3,-2,268,192,-775,-174,3431,2101,-4800
1665258254397,3,-2,268,192,-775,-174,3431,2101,-4800
1665258254397,3,-2,268,191,-775,-173,3431,2101,-4800
1665258254423,3,-2,268,191,-775,-173,3431,2101,-4800
1665258254425,4,-2,269,191,-775,-172,3431,2101,-4800
1665258254425,4,-2,269,191,-775,-172,3435,2127,-4790
1665258254425,4,-2,269,194,-778,-174,3435,2127,-4790
1665258254425,4,-2,269,193,-775,-173,3435,2127,-4790
1665258254451,4,-2,269,193,-775,-173,3435,2127,-4790
1665258254453,4,-2,269,193,-777,-172,3435,2127,-4790
1665258254453,4,-2,269,193,-777,-172,3435,2127,-4790
1665258254453,3,-2,268,190,-774,-172,3435,2127,-4790
1665258254453,3,-2,268,190,-774,-172,3435,2127,-4790
1665258254453,3,-2,268,195,-778,-174,3435,2127,-4790
1665258254470,3,-2,268,195,-778,-174,3435,2127,-4790
1665258254472,4,-2,269,192,-774,-173,3435,2127,-4790
1665258254472,4,-2,269,193,-776,-173,3435,2127,-4790
1665258254490,4,-2,269,193,-776,-173,3435,2127,-4790
1665258254492,3,-2,269,193,-777,-172,3435,2127,-4790
1665258254492,3,-2,269,193,-777,-172,3435,2127,-4790
1665258254492,3,-2,269,194,-778,-174,3435,2127,-4790
1665258254517,3,-2,269,194,-778,-174,3435,2127,-4790
1665258254519,4,-2,269,193,-777,-174,3435,2127,-4790
1665258254520,4,-2,269,193,-777,-174,3414,2102,-4776
