timestamp,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Mag X,Mag Y,Mag Z
1665258562017,2,5,279,63,-498,848,3334,2334,-4433
1665258562020,2,5,279,65,-498,849,3328,2316,-4370
1665258562020,2,5,279,65,-498,849,3328,2316,-4370
1665258562020,1,5,278,65,-497,842,3328,2316,-4370
1665258562020,1,5,278,65,-497,842,3328,2316,-4370
1665258562032,1,5,278,68,-500,841,3328,2316,-4370
1665258562033,1,5,278,65,-497,845,3328,2316,-4370
1665258562051,3,6,278,65,-497,845,3328,2316,-4370
1665258562053,3,6,278,65,-498,845,3328,2316,-4370
1665258562053,3,6,278,65,-498,845,3328,2316,-4370
1665258562053,0,4,278,57,-497,846,3328,2316,-4370
1665258562084,0,4,278,57,-497,846,3328,2316,-4370
1665258562086,0,4,278,69,-499,840,3328,2316,-4370
1665258562086,0,4,278,69,-499,840,3328,2316,-4370
1665258562086,2,6,278,63,-490,846,3328,2316,-4370
1665258562086,2,6,278,57,-498,850,3328,2316,-4370
1665258562086,2,6,278,57,-498,850,3328,2316,-4370
1665258562107,2,5,278,63,-495,846,3328,2316,-4370
1665258562108,2,5,278,63,-495,846,3328,2316,-4370
1665258562108,2,5,278,65,-487,845,3339,2306,-4399
1665258562109,2,5,278,65,-487,845,3339,2306,-4399
1665258562120,1,5,278,59,-497,851,3339,2306,-4399
1665258562122,1,5,278,59,-497,851,3339,2306,-4399
1665258562136,1,5,278,63,-497,850,3339,2306,-4399
1665258562138,1,5,279,65,-488,847,3339,2306,-4399
1665258562138,2,5,279,65,-488,847,3339,2306,-4399
1665258562166,2,5,279,63,-500,845,3339,2306,-4399
1665258562167,2,5,279,63,-500,845,3339,2306,-4399
1665258562167,1,5,278,63,-495,845,3339,2306,-4399
1665258562167,1,5,278,63,-495,845,3339,2306,-4399
1665258562167,1,5,278,72,-493,840,3339,2306,-4399
1665258562168,1,5,278,72,-497,845,3339,2306,-4399
1665258562198,2,6,279,63,-497,845,3339,2306,-4399
1665258562200,2,6,279,61,-501,845,3339,2306,-4399
1665258562200,2,6,279,61,-501,845,3339,2306,-4399
1665258562200,0,3,277,69,-500,841,3339,2306,-4399
1665258562200,0,3,277,69,-500,841,3339,2306,-4399
1665258562201,0,3,277,75,-499,840,3339,2306,-4399
1665258562216,0,3,277,75,-499,840,3339,2301,-4434
1665258562218,2,6,279,68,-500,841,3339,2301,-4434
1665258562218,2,6,279,64,-499,843,3339,2301,-4434
1665258562232,2,6,279,64,-499,843,3339,2301,-4434
1665258562234,2,5,278,71,-498,839,3339,2301,-4434
1665258562234,2,5,278,71,-498,839,3339,2301,-4434
1665258562248,2,5,278,66,-492,843,3339,2301,-4434
1665258562250,2,5,278,66,-492,843,3339,2301,-4434
1665258562250,2,4,279,60,-497,845,3339,2301,-4434
1665258562266,2,4,279,60,-497,845,3339,2301,-4434
1665258562268,2,4,279,64,-495,839,3339,2301,-4434
1665258562268,2,4,279,67,-491,839,3339,2301,-4434
1665258562285,3,4,278,67,-491,839,3339,2301,-4434
1665258562288,3,4,278,64,-499,842,3339,2301,-4434
1665258562288,3,4,278,64,-499,842,3339,2301,-4434
1665258562288,1,5,279,66,-502,841,3339,2301,-4434
1665258562312,1,5,279,66,-502,841,3339,2301,-4434
1665258562314,1,5,279,67,-497,841,3339,2301,-4434
1665258562314,1,5,279,67,-497,845,3325,2311,-4419
1665258562314,2,5,277,62,-492,845,3325,2311,-4419
1665258562314,2,5,277,63,-495,847,3325,2311,-4419
1665258562330,2,5,277,63,-495,847,3325,2311,-4419
1665258562331,2,5,279,66,-494,847,3325,2311,-4419
1665258562331,2,5,279,66,-494,847,3325,2311,-4419
1665258562345,2,5,279,61,-492,849,3325,2311,-4419
1665258562347,2,5,279,61,-492,849,3325,2311,-4419
1665258562347,0,5,278,61,-497,847,3325,2311,-4419
1665258562363,0,5,278,61,-496,847,3325,2311,-4419
1665258562365,0,5,278,65,-496,847,3325,2311,-4419
1665258562365,2,5,278,64,-496,847,3325,2311,-4419
1665258562382,2,5,278,64,-496,847,3325,2311,-4419
1665258562384,2,5,278,62,-499,848,3325,2311,-4419
1665258562384,2,5,278,62,-499,848,3325,2311,-4419
1665258562384,2,5,278,63,-495,845,3325,2311,-4419
1665258562404,2,5,278,63,-495,845,3325,2311,-4419
1665258562407,2,5,278,64,-497,845,3325,2311,-4419
1665258562407,2,5,278,57,-495,850,3325,2311,-4419
1665258562407,2,5,277,57,-495,850,3331,2284,-4391
1665258562429,2,5,277,62,-498,845,3331,2284,-4391
1665258562433,2,5,277,62,-498,845,3331,2284,-4391
1665258562433,2,6,279,66,-492,844,3331,2284,-4391
1665258562433,2,6,279,66,-492,844,3331,2284,-4391
1665258562434,2,6,279,65,-498,843,3331,2284,-4391
1665258562452,2,6,279,65,-498,843,3331,2284,-4391
1665258562455,2,5,277,60,-499,846,3331,2284,-4391
1665258562455,2,5,277,64,-496,845,3331,2284,-4391
1665258562455,2,5,277,64,-496,845,3331,2284,-4391
1665258562469,1,5,279,64,-494,845,3331,2284,-4391
1665258562471,1,5,279,64,-494,845,3331,2284,-4391
1665258562471,1,5,279,62,-499,848,3331,2284,-4391
1665258562488,1,5,279,62,-499,848,3331,2284,-4391
1665258562491,2,6,277,64,-499,845,3331,2284,-4391
1665258562491,2,6,277,64,-499,845,3331,2284,-4391
1665258562512,2,6,277,63,-496,845,3331,2284,-4391
1665258562515,2,5,278,63,-495,847,3331,2284,-4391
1665258562515,1,5,278,63,-495,847,3327,2312,-4449
1665258562515,1,5,278,62,-494,850,3327,2312,-4449
1665258562515,1,5,278,62,-494,850,3327,2312,-4449
1665258562531,2,5,278,61,-495,851,3327,2312,-4449
1665258562532,2,5,278,61,-495,851,3327,2312,-4449
1665258562532,2,5,278,64,-492,851,3327,2312,-4449
1665258562546,2,5,278,62,-490,850,3327,2312,-4449
1665258562548,1,4,277,62,-490,850,3327,2312,-4449
1665258562548,1,4,277,60,-493,851,3327,2312,-4449
1665258562566,1,4,277,60,-493,851,3327,2312,-4449
1665258562568,2,4,279,64,-494,847,3327,2312,-4449
1665258562568,2,4,279,64,-494,847,3327,2312,-4449
1665258562568,2,4,279,64,-497,847,3327,2312,-4449
1665258562586,2,4,279,64,-497,847,3327,2312,-4449
1665258562589,1,4,277,63,-497,850,3327,2312,-4449
1665258562589,1,4,277,59,-492,851,3327,2312,-4449
1665258562612,1,4,277,59,-492,851,3327,2312,-4449
1665258562615,2,6,280,66,-493,849,3327,2312,-4449
1665258562615,2,6,280,66,-493,849,3327,2312,-4454
1665258562615,2,6,280,59,-490,854,3360,2331,-4454
1665258562615,2,6,280,59,-490,854,3360,2331,-4454
1665258562631,1,5,277,61,-491,856,3360,2331,-4454
1665258562632,1,5,277,61,-491,856,3360,2331,-4454
1665258562632,1,5,277,64,-489,852,3360,2331,-4454
1665258562647,1,5,278,59,-491,852,3360,2331,-4454
1665258562649,2,5,278,59,-491,852,3360,2331,-4454
1665258562649,2,5,278,62,-493,848,3360,2331,-4454
1665258562671,2,5,278,62,-493,848,3360,2331,-4454
1665258562674,1,6,278,66,-490,845,3360,2331,-4454
1665258562675,1,6,278,66,-490,845,3360,2331,-4454
1665258562675,1,6,278,62,-498,847,3360,2331,-4454
1665258562675,1,6,278,62,-498,849,3360,2331,-4454
1665258562695,1,5,277,64,-497,849,3360,2331,-4454
1665258562697,1,5,277,66,-487,850,3360,2331,-4454
1665258562698,1,5,277,66,-487,850,3360,2331,-4454
1665258562698,2,6,278,64,-492,853,3360,2331,-4454
1665258562726,2,6,278,64,-492,853,3360,2331,-4454
1665258562728,2,6,278,61,-491,855,3332,2317,-4441
1665258562728,2,6,278,61,-491,855,3332,2317,-4441
1665258562728,2,5,278,64,-491,850,3332,2317,-4441
1665258562728,2,5,278,67,-495,846,3332,2317,-4441
1665258562728,2,5,278,67,-495,846,3332,2317,-4441
1665258562745,2,5,278,65,-489,848,3332,2317,-4441
1665258562747,2,5,278,65,-489,848,3332,2317,-4441
1665258562747,2,5,278,63,-487,849,3332,2317,-4441
1665258562765,2,5,278,63,-487,849,3332,2317,-4441
1665258562766,2,5,278,64,-492,849,3332,2317,-4441
1665258562766,2,5,278,64,-492,849,3332,2317,-4441
1665258562766,2,5,278,67,-494,848,3332,2317,-4441
1665258562790,2,5,278,63,-492,851,3332,2317,-4441
1665258562793,2,5,278,63,-492,851,3332,2317,-4441
1665258562794,2,5,278,70,-497,848,3332,2317,-4441
1665258562794,2,5,278,70,-497,848,3332,2317,-4441
1665258562794,2,4,278,68,-495,845,3332,2317,-4441
1665258562813,2,4,278,68,-495,845,3332,2317,-4441
1665258562814,2,4,278,64,-498,846,3332,2288,-4405
1665258562815,2,4,278,64,-498,846,3337,2288,-4405
1665258562815,1,4,278,66,-500,845,3337,2288,-4405
1665258562835,1,4,278,60,-495,840,3337,2288,-4405
1665258562836,1,4,278,60,-495,840,3337,2288,-4405
1665258562836,2,4,279,70,-499,833,3337,2288,-4405
1665258562836,2,4,279,70,-499,833,3337,2288,-4405
1665258562848,2,4,279,72,-498,830,3337,2288,-4405
1665258562850,2,4,279,72,-498,830,3337,2288,-4405
1665258562864,2,6,279,73,-505,833,3337,2288,-4405
1665258562865,2,6,279,73,-502,839,3337,2288,-4405
1665258562865,2,6,279,67,-502,839,3337,2288,-4405
1665258562882,3,6,277,71,-499,835,3337,2288,-4405
1665258562883,3,6,277,71,-499,835,3337,2288,-4405
1665258562883,3,6,277,73,-494,837,3337,2288,-4405
1665258562900,3,6,277,73,-494,837,3337,2288,-4405
1665258562902,2,7,278,66,-488,843,3337,2288,-4405
1665258562902,2,7,278,66,-488,843,3337,2288,-4405
1665258562902,2,7,278,67,-493,846,3337,2288,-4405
1665258562920,2,7,278,74,-493,842,3335,2295,-4385
1665258562923,2,5,278,74,-493,842,3335,2295,-4385
1665258562923,2,5,278,64,-486,848,3335,2295,-4385
1665258562923,2,5,278,64,-486,848,3335,2295,-4385
1665258562943,1,4,279,74,-507,839,3335,2295,-4385
1665258562944,1,4,279,74,-507,839,3335,2295,-4385
1665258562944,1,4,279,86,-501,827,3335,2295,-4385
1665258562944,1,4,279,86,-501,827,3335,2295,-4385
1665258562962,1,4,279,82,-499,823,3335,2295,-4385
1665258562963,1,4,279,83,-513,826,3335,2295,-4385
1665258562963,1,4,279,83,-513,826,3335,2295,-4385
1665258562985,1,6,278,97,-506,820,3335,2295,-4385
1665258562987,1,6,278,97,-506,820,3335,2295,-4385
1665258562987,1,6,278,80,-496,829,3335,2295,-4385
1665258562987,1,6,278,80,-496,829,3335,2295,-4385
1665258562987,1,10,278,75,-506,840,3335,2295,-4385
1665258563009,1,10,278,75,-506,840,3335,2295,-4385
1665258563012,1,10,278,53,-487,858,3335,2295,-4385
1665258563012,1,10,276,56,-499,842,3079,2298,-4394
1665258563012,2,5,276,56,-499,842,3318,2298,-4394
1665258563027,2,5,276,91,-489,835,3318,2298,-4394
1665258563029,2,5,276,91,-489,835,3318,2298,-4394
1665258563029,2,7,279,61,-471,847,3318,2298,-4394
1665258563047,2,7,279,61,-471,847,3318,2298,-4394
1665258563048,2,7,279,48,-511,865,3318,2298,-4394
1665258563048,2,7,279,48,-495,849,3318,2298,-4394
1665258563048,2,5,276,76,-495,849,3318,2298,-4394
1665258563063,2,5,276,58,-469,849,3318,2298,-4394
1665258563065,2,5,276,58,-469,849,3318,2298,-4394
1665258563065,2,4,277,58,-515,854,3318,2298,-4394
1665258563082,2,4,277,58,-515,854,3318,2298,-4394
1665258563084,2,4,277,68,-498,846,3318,2298,-4394
1665258563084,2,4,277,68,-498,846,3318,2298,-4394
1665258563107,1,6,279,64,-477,847,3318,2298,-4394
1665258563109,1,6,279,58,-509,856,3318,2298,-4394
1665258563109,1,6,279,58,-509,856,3318,2298,-4394
1665258563109,2,5,277,60,-489,851,3318,2298,-4394
1665258563109,2,5,277,60,-489,851,3336,2305,-4453
1665258563126,2,5,277,59,-474,847,3336,2305,-4453
1665258563127,2,5,277,59,-474,847,3336,2305,-4453
1665258563127,2,5,279,58,-495,853,3336,2305,-4453
1665258563144,2,5,279,58,-495,853,3336,2305,-4453
1665258563146,2,5,279,64,-492,848,3336,2305,-4453
1665258563146,2,5,279,59,-480,848,3336,2305,-4453
1665258563146,2,5,279,59,-480,848,3336,2305,-4453
1665258563161,2,5,279,70,-500,847,3336,2305,-4453
1665258563163,2,5,279,70,-500,847,3336,2305,-4453
1665258563163,2,5,279,70,-496,850,3336,2305,-4453
1665258563186,2,5,279,70,-496,850,3336,2305,-4453
1665258563189,2,5,279,69,-495,850,3336,2305,-4453
1665258563189,2,5,279,69,-495,850,3336,2305,-4453
1665258563189,1,4,278,76,-501,852,3336,2305,-4453
1665258563189,1,4,278,63,-491,857,3336,2305,-4453
1665258563213,1,4,278,63,-491,857,3336,2305,-4453
1665258563215,2,5,280,68,-497,857,3336,2305,-4453
1665258563215,2,5,280,68,-497,857,3332,2287,-4447
1665258563215,2,5,280,67,-494,853,3332,2287,-4447
1665258563230,2,5,280,67,-494,853,3332,2287,-4447
1665258563232,1,5,277,68,-493,848,3332,2287,-4447
1665258563232,1,5,277,68,-496,851,3332,2287,-4447
1665258563232,1,5,277,62,-496,851,3332,2287,-4447
1665258563246,2,6,278,60,-498,854,3332,2287,-4447
1665258563248,2,6,278,60,-498,854,3332,2287,-4447
1665258563265,2,6,278,58,-496,858,3332,2287,-4447
1665258563267,2,6,278,58,-496,858,3332,2287,-4447
1665258563267,3,5,277,67,-498,847,3332,2287,-4447
1665258563267,3,5,277,67,-498,847,3332,2287,-4447
1665258563284,3,5,277,87,-488,838,3332,2287,-4447
